Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Kelvin Beachum,#68,T,6.0,212,0.0,119.0,0.0,93.0,61.2,-,67.6,-,51.7,1 (0),arizona-cardinals
Damien Williams,#29,HB,3.0,28,10.0,3.0,11.0,4.0,72.7,66.7,80.2,70.7,59.4,0 (0),arizona-cardinals
Geoff Swaim,#87,TE,14.0,338,110.0,35.0,0.0,193.0,50.2,53.4,66.6,-,47.4,0 (0),arizona-cardinals
D.J. Humphries,#74,T,15.0,922,0.0,568.0,0.0,354.0,62.5,-,68.4,-,56.5,9 (0),arizona-cardinals
Zach Pascal,#00,WR,14.0,201,103.0,0.0,0.0,98.0,47.6,46.6,-,-,56.9,0 (0),arizona-cardinals
James Conner,#06,HB,13.0,531,218.0,51.0,214.0,48.0,89.2,69.2,68.0,88.4,68.9,0 (0),arizona-cardinals
Elijah Wilkinson,#65,G,10.0,501,0.0,285.0,0.0,216.0,46.2,-,40.7,-,57.5,6 (0),arizona-cardinals
Will Hernandez,#76,G,17.0,"1,109",0.0,671.0,0.0,438.0,66.2,-,70.2,-,60.6,1 (0),arizona-cardinals
Kyler Murray,#01,QB,8.0,538,326.0,0.0,29.0,183.0,70.8,67.6,-,77.8,60.2,5 (1),arizona-cardinals
Hjalte Froholdt,#72,C,17.0,"1,123",0.0,679.0,0.0,444.0,64.1,-,61.1,-,67.4,8 (0),arizona-cardinals
Dennis Daley,#71,G,3.0,144,0.0,95.0,0.0,49.0,38.4,-,30.9,-,42.3,0 (0),arizona-cardinals
Greg Dortch,#83,WR,13.0,399,258.0,0.0,1.0,140.0,68.2,71.2,-,48.5,44.9,1 (0),arizona-cardinals
Marquise Brown,#02,WR,14.0,781,499.0,0.0,2.0,280.0,67.1,68.1,-,62.2,48.3,4 (1),arizona-cardinals
Carter O'Donnell,#61,G,5.0,193,0.0,125.0,0.0,68.0,54.1,-,58.4,-,50.5,3 (0),arizona-cardinals
Andre Baccellia,#82,WR,5.0,49,18.0,0.0,0.0,31.0,55.3,52.0,-,-,69.9,0 (0),arizona-cardinals
Trystan Colon,#63,G,11.0,322,0.0,200.0,0.0,122.0,59.6,-,69.2,-,55.5,1 (1),arizona-cardinals
Michael Carter,#22,HB,6.0,82,51.0,4.0,23.0,4.0,76.6,66.8,80.7,79.6,60.0,0 (0),arizona-cardinals
Rondale Moore,#04,WR,17.0,755,517.0,0.0,23.0,215.0,53.6,50.5,-,72.4,54.0,0 (0),arizona-cardinals
Ben Brown,#76,G,1.0,8.0,0.0,5.0,0.0,3.0,61.5,-,77.7,-,58.7,0 (0),seattle-seahawks
Trey McBride,#85,TE,17.0,785,436.0,19.0,0.0,330.0,76.3,80.5,55.1,-,62.3,8 (0),arizona-cardinals
Travis Vokolek,#81,TE,2.0,40,9.0,4.0,0.0,27.0,50.2,47.4,57.9,-,56.0,0 (0),arizona-cardinals
Michael Wilson,#14,WR,13.0,710,443.0,1.0,0.0,266.0,68.3,68.7,68.1,-,62.2,3 (1),arizona-cardinals
Clayton Tune,#15,QB,7.0,60,35.0,0.0,4.0,21.0,34.2,28.0,-,65.6,60.0,0 (0),arizona-cardinals
Emari Demercado,#31,HB,14.0,294,173.0,47.0,58.0,16.0,73.4,44.7,74.7,89.9,40.7,0 (0),arizona-cardinals
Blake Whiteheart,#89,TE,1.0,2,1.0,0.0,0.0,1.0,58.6,58.8,-,-,60.0,0 (0),arizona-cardinals
Elijah Higgins,#84,TE,11.0,191,99.0,1.0,0.0,91.0,63.6,70.4,68.4,-,51.1,2 (0),arizona-cardinals
