Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Jashaun Corbin,#35,HB,1.0,15,10.0,3.0,1.0,1.0,76.7,79.3,73.3,60.0,60.0,0 (0)
Andrew Thomas,#78,T,10.0,576,0.0,376.0,0.0,200.0,76.1,-,80.2,-,64.1,2 (1)
Tyrod Taylor,#02,QB,11.0,373,242.0,0.0,13.0,118.0,71.4,73.4,-,54.5,60.5,0 (0)
Saquon Barkley,#26,HB,14.0,718,323.0,100.0,253.0,42.0,70.2,60.6,76.6,70.6,56.4,1 (0)
Darren Waller,#12,TE,12.0,568,375.0,21.0,0.0,172.0,69.4,73.1,57.6,-,40.9,0 (0)
Darius Slayton,#86,WR,17.0,896,583.0,1.0,0.0,312.0,67.5,68.2,68.1,-,46.3,0 (0)
Wan'Dale Robinson,#17,WR,15.0,640,422.0,0.0,9.0,209.0,65.5,67.0,-,68.9,42.0,2 (2)
Gary Brightwell,#23,HB,4.0,41,29.0,0.0,9.0,3.0,64.4,72.1,-,60.4,58.3,0 (0)
Mark Glowinski,#64,G,13.0,521,1.0,303.0,0.0,217.0,63.3,59.9,53.4,-,67.6,4 (1)
Daniel Jones,#08,QB,6.0,326,221.0,0.0,22.0,83.0,63.0,54.4,-,82.2,60.0,0 (0)
Tommy DeVito,#15,QB,9.0,405,244.0,0.0,15.0,146.0,62.0,64.4,-,50.9,60.7,3 (0)
Jaylon Thomas,#71,C,1.0,3,0.0,2.0,0.0,1.0,60.0,-,26.4,-,60.0,0 (0)
Jalin Hyatt,#13,WR,17.0,557,403.0,0.0,0.0,154.0,59.7,58.5,-,-,67.6,0 (0)
Lawrence Cager,#83,TE,9.0,101,55.0,8.0,0.0,38.0,58.2,53.5,72.2,-,65.0,0 (0)
Eric Gray,#20,HB,7.0,64,40.0,3.0,17.0,4.0,57.2,61.3,28.1,56.7,60.0,0 (0)
Isaiah Hodgins,#18,WR,17.0,511,292.0,4.0,0.0,215.0,56.4,56.6,73.8,-,50.6,2 (1)
Deon Jackson,#34,HB,1.0,1,0.0,0.0,1.0,0.0,54.8,-,-,57.7,-,0 (0)
Gunner Olszewski,#80,WR,4.0,7,7.0,0.0,0.0,0.0,54.7,55.6,-,-,-,0 (0)
Tyre Phillips,#79,T,10.0,552,0.0,334.0,0.0,218.0,52.7,-,64.5,-,40.0,3 (0)
Matt Breida,#31,HB,17.0,289,167.0,36.0,57.0,29.0,52.4,37.0,63.3,60.3,56.5,0 (0)
Parris Campbell,#00,WR,11.0,207,150.0,1.0,0.0,56.0,51.4,50.9,67.1,-,62.5,0 (0)
Sterling Shepard,#03,WR,15.0,142,97.0,0.0,0.0,45.0,50.1,52.6,-,-,34.4,0 (0)
Daniel Bellinger,#82,TE,17.0,689,295.0,86.0,0.0,308.0,49.1,48.7,45.4,-,56.9,6 (0)
Tyree Jackson,#84,TE,2.0,18,5.0,1.0,0.0,12.0,46.8,50.3,70.2,-,51.8,0 (0)
Marcus McKethan,#60,G,9.0,378,0.0,245.0,0.0,133.0,45.4,-,26.8,-,53.9,1 (1)
Sean Harlow,#65,C,2.0,16,0.0,13.0,0.0,3.0,45.3,-,73.3,-,55.4,1 (0)
Matt Peart,#74,T,7.0,133,0.0,91.0,0.0,42.0,42.9,-,55.8,-,34.0,2 (1)
Ben Bredeson,#68,G,16.0,"1,014",0.0,641.0,0.0,373.0,42.5,63.2,42.4,-,41.9,6 (2)
Joshua Ezeudu,#75,T,6.0,266,0.0,181.0,0.0,85.0,42.4,-,39.3,-,53.4,6 (1)
Justin Pugh,#67,G,12.0,763,0.0,473.0,0.0,290.0,41.6,-,37.8,-,47.3,5 (1)
John Michael Schmitz Jr.,#61,C,13.0,755,0.0,484.0,0.0,271.0,41.4,-,26.9,-,51.3,4 (1)
Evan Neal,#73,T,7.0,460,0.0,309.0,0.0,151.0,39.8,-,38.5,-,51.1,5 (1)
Shane Lemieux,#66,G,2.0,91,0.0,67.0,0.0,24.0,34.3,-,26.1,-,39.3,0 (0)
Jalen Mayfield,#62,G,2.0,47,0.0,32.0,0.0,15.0,26.1,-,0.0,-,39.4,2 (0)
,,,,,,,,,,,,,,
