Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Kyle Trask,#02,QB,2.0,3,1.0,0.0,1.0,1.0,86.0,82.7,-,60.0,60.0,0 (0)
Tristan Wirfs,#78,T,19.0,"1,233",0.0,777.0,0.0,456.0,83.1,-,85.5,-,73.8,6 (0)
Mike Evans,#13,WR,19.0,973,663.0,0.0,0.0,310.0,81.5,83.0,-,-,41.4,4 (0)
Chris Godwin,#14,WR,19.0,"1,000",685.0,2.0,3.0,310.0,77.5,77.9,73.3,70.7,53.9,1 (1)
Baker Mayfield,#06,QB,19.0,"1,233",778.0,0.0,34.0,421.0,77.2,74.8,-,69.5,60.0,3 (1)
Luke Goedeke,#67,T,19.0,"1,236",0.0,779.0,0.0,457.0,73.4,-,72.5,-,70.0,12 (3)
David Moore,#19,WR,9.0,151,75.0,1.0,0.0,75.0,72.9,75.0,52.8,-,59.1,1 (0)
Justin Skule,#77,T,8.0,29,1.0,4.0,0.0,24.0,69.8,59.6,79.2,-,64.9,0 (0)
Rachaad White,#01,HB,19.0,959,534.0,88.0,303.0,34.0,67.5,64.4,53.5,68.8,59.6,2 (0)
Payne Durham,#87,TE,15.0,150,68.0,14.0,0.0,68.0,59.5,59.7,70.7,-,54.8,0 (0)
Deven Thompkins,#83,WR,19.0,274,150.0,0.0,6.0,118.0,59.3,56.9,-,80.4,51.5,1 (0)
Chase Edmonds,#22,HB,15.0,191,105.0,12.0,63.0,11.0,58.2,54.6,63.4,59.3,60.0,0 (0)
Cade Otton,#88,TE,19.0,"1,193",699.0,59.0,0.0,435.0,56.8,58.8,47.4,-,51.7,3 (0)
Aaron Stinnie,#64,G,14.0,851,0.0,535.0,0.0,316.0,56.5,-,53.7,-,58.9,4 (0)
Rakim Jarrett,#18,WR,10.0,115,56.0,0.0,1.0,58.0,55.9,58.4,-,57.2,57.7,1 (1)
Sean Tucker,#44,HB,4.0,32,14.0,1.0,16.0,1.0,55.8,59.6,73.0,55.3,60.0,0 (0)
Ryan Miller,#81,WR,1.0,3,3.0,0.0,0.0,0.0,55.8,57.0,-,-,-,0 (0)
Matt Feiler,#71,G,6.0,386,0.0,244.0,0.0,142.0,54.7,-,65.0,-,52.2,2 (0)
Ko Kieft,#41,TE,18.0,230,57.0,23.0,0.0,150.0,53.9,39.7,68.2,-,60.9,1 (0)
Ke'Shawn Vaughn,#21,HB,5.0,60,24.0,5.0,26.0,5.0,53.6,34.9,39.8,60.6,60.0,0 (0)
Trey Palmer,#10,WR,19.0,779,538.0,0.0,4.0,237.0,53.3,54.8,-,66.1,48.3,5 (0)
Robert Hainsey,#70,C,19.0,"1,236",0.0,779.0,0.0,457.0,50.2,-,57.3,-,50.3,9 (1)
David Wells,#89,TE,5.0,43,11.0,5.0,0.0,27.0,47.5,37.8,79.3,-,59.0,0 (0)
Cody Mauch,#69,G,19.0,"1,236",0.0,779.0,0.0,457.0,43.9,-,52.1,-,37.6,5 (1)
