"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","KC",1,"00-0035149","G","Nick Allegretti","Nick","Allegretti",NA,NA,NA,"Pectoral",NA,"Full Participation in Practice",2023-09-06 19:49:55
2023,"REG","KC",1,"00-0034286","WR","Richie James","Richie","James",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-06 19:49:55
2023,"REG","KC",1,"00-0038986","CB","Nic Jones","Nic","Jones",NA,NA,NA,"Hand",NA,"Full Participation in Practice",2023-09-06 19:49:55
2023,"REG","KC",1,"00-0036374","CB","L'Jarius Sneed","L'Jarius","Sneed",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-06 19:50:11
2023,"REG","KC",1,"00-0038983","DE","B.J. Thompson","B.J.","Thompson",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-06 19:49:55
2023,"REG","KC",1,"00-0036913","WR","Kadarius Toney","Kadarius","Toney",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-06 19:50:17
2023,"REG","KC",1,"00-0035890","DT","Tershawn Wharton","Tershawn","Wharton",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-06 19:49:55
2023,"REG","KC",1,"00-0030506","TE","Travis Kelce","Travis","Kelce","Knee",NA,"Questionable","Knee",NA,"Did Not Participate In Practice",2023-09-06 19:50:22
2023,"REG","KC",2,"00-0036621","LB","Nick Bolton","Nick","Bolton",NA,NA,NA,"Not injury related - personal matter",NA,"Did Not Participate In Practice",2023-09-15 19:07:32
2023,"REG","KC",2,"00-0034286","WR","Richie James","Richie","James",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 19:06:40
2023,"REG","KC",2,"00-0038986","CB","Nic Jones","Nic","Jones",NA,NA,NA,"Hand",NA,"Full Participation in Practice",2023-09-15 19:06:40
2023,"REG","KC",2,"00-0036913","WR","Kadarius Toney","Kadarius","Toney",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 19:06:40
2023,"REG","KC",2,"00-0035890","DT","Tershawn Wharton","Tershawn","Wharton",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 19:06:40
2023,"REG","KC",2,"00-0032762","DT","Chris Jones","Chris","Jones",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2023-09-15 19:06:40
2023,"REG","KC",2,"00-0036374","CB","L'Jarius Sneed","L'Jarius","Sneed",NA,NA,NA,"Knee",NA,"Limited Participation in Practice",2023-09-15 19:06:40
2023,"REG","KC",2,"00-0036360","RB","Clyde Edwards-Helaire","Clyde","Edwards-Helaire","Illness",NA,"Questionable","Illness",NA,"Did Not Participate In Practice",2023-09-15 19:08:03
2023,"REG","KC",2,"00-0030506","TE","Travis Kelce","Travis","Kelce","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-15 19:08:03
2023,"REG","KC",3,"00-0038986","CB","Nic Jones","Nic","Jones",NA,NA,NA,"Hand",NA,"Full Participation in Practice",2023-09-22 19:28:21
2023,"REG","KC",3,"00-0036374","CB","L'Jarius Sneed","L'Jarius","Sneed",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-22 19:28:21
2023,"REG","KC",3,"00-0035237","T","Jawaan Taylor","Jawaan","Taylor",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-22 19:28:21
2023,"REG","KC",3,"00-0034386","WR","Justin Watson","Justin","Watson",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-22 19:28:21
2023,"REG","KC",3,"00-0037195","CB","Jaylen Watson","Jaylen","Watson",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-22 19:28:21
2023,"REG","KC",3,"00-0036621","LB","Nick Bolton","Nick","Bolton","Ankle",NA,"Out","Ankle",NA,"Did Not Participate In Practice",2023-09-22 19:35:13
2023,"REG","KC",3,"00-0034286","WR","Richie James","Richie","James","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-09-22 19:35:27
2023,"REG","KC",3,"00-0036362","LB","Willie Gay","Willie","Gay","Quadricep",NA,"Questionable","Quadricep",NA,"Limited Participation in Practice",2023-09-22 19:33:32
