RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Jake Browning,#06,QB,9.0,167.0,27.0,127,4.7,3.0,3.0,79.3,87.8,54.6,60.0,83.0,3.07,2.0,21.0,4.0,1.0,0.0,16.0,123.0,4,0.0,0.0,0.0,12.0,8 (0),59.8,60.9,1.0,1.0,-7,2.0,-3.5,0.0,0.0
2.0,Joe Mixon,#28,HB,17.0,289.0,257.0,"1,034",4.0,9.0,0.0,71.1,73.8,91.3,59.9,646.0,2.51,31.0,44.0,27.0,104.0,149.0,0.0,0.0,"1,034",8.0,168.0,16.2,59.0,2 (1),68.8,29.7,62.0,52.0,376,373.0,1.01,4.0,39.0
3.0,Joe Burrow,#09,QB,10.0,180.0,31.0,88,2.8,0.0,2.0,77.9,68.8,87.0,60.0,97.0,3.13,7.0,20.0,5.0,0.0,1.0,14.0,91.0,-3,0.0,0.0,0.0,9.0,5 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
4.0,Chris Evans,#25,HB,7.0,4.0,2.0,12,6.0,0.0,0.0,51.9,63.3,70.1,60.0,6.0,3.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0 (0),52.0,13.6,1.0,1.0,-1,16.0,-0.06,0.0,0.0
5.0,Charlie Jones,#15,WR,8.0,14.0,2.0,13,6.5,0.0,0.0,65.8,62.2,85.6,37.6,6.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,1.0,0 (0),67.9,-,9.0,7.0,64,30.0,2.13,1.0,0.0
6.0,Trayveon Williams,#32,HB,17.0,31.0,15.0,69,4.6,0.0,0.0,58.9,61.6,80.9,52.5,43.0,2.87,2.0,15.0,2.0,8.0,5.0,0.0,0.0,69,1.0,15.0,21.7,2.0,0 (0),51.1,75.1,8.0,7.0,10,96.0,0.1,0.0,26.1
7.0,Tyler Boyd,#83,WR,17.0,213.0,2.0,11,5.5,0.0,0.0,59.5,59.1,81.5,30.4,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,1.0,2 (0),64.4,66.2,91.0,67.0,667,577.0,1.16,3.0,15.9
8.0,Chase Brown,#30,HB,11.0,49.0,44.0,179,4.1,0.0,1.0,63.9,59.0,48.0,58.7,144.0,3.27,8.0,31.0,5.0,23.0,20.0,0.0,0.0,179,4.0,89.0,49.7,6.0,1 (0),81.1,26.7,15.0,14.0,156,35.0,4.46,1.0,84.6
9.0,Ja'Marr Chase,#01,WR,16.0,258.0,3.0,-6,-2.0,0.0,1.0,85.3,52.8,58.8,45.1,4.0,1.33,0.0,2.0,0.0,0.0,2.0,0.0,0.0,-6,0.0,0.0,0.0,0.0,2 (1),86.7,-,140.0,100.0,"1,216",600.0,2.03,4.0,22.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
