Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Breece Hall,#20,HB,17.0,665,354.0,56.0,229.0,26.0,82.4,88.9,53.9,77.8,57.4,0 (0)
Brandin Echols,#26,CB,2.0,2,1.0,0.0,0.0,1.0,77.5,76.9,-,-,60.0,0 (0)
Garrett Wilson,#17,WR,17.0,"1,006",712.0,0.0,5.0,289.0,72.9,73.5,-,62.0,56.1,5 (1)
Alijah Vera-Tucker,#75,T,5.0,250,0.0,164.0,0.0,86.0,71.7,-,56.8,-,82.7,1 (0)
Thomas Morstead,#05,P,3.0,3,1.0,0.0,0.0,2.0,69.8,67.2,-,-,59.5,0 (0)
C.J. Uzomah,#87,TE,12.0,240,111.0,23.0,0.0,106.0,66.4,60.0,48.9,-,74.5,3 (0)
Tyler Conklin,#83,TE,17.0,770,499.0,37.0,1.0,233.0,65.6,66.9,66.6,60.0,54.0,1 (0)
Tim Boyle,#07,QB,3.0,122,89.0,0.0,4.0,29.0,64.1,61.2,-,73.5,60.0,0 (0)
Irvin Charles,#19,WR,10.0,45,17.0,0.0,0.0,28.0,63.2,53.1,-,-,88.1,1 (0)
Ashtyn Davis,#21,S,3.0,3,0.0,1.0,2.0,0.0,61.3,-,63.8,60.6,-,0 (0)
Joe Tippmann,#66,C,14.0,852,0.0,578.0,0.0,274.0,61.0,-,52.7,-,67.4,8 (3)
Zack Kuntz,#81,TE,1.0,2,0.0,0.0,0.0,2.0,60.1,-,-,-,59.9,0 (0)
Jamien Sherwood,#44,LB,3.0,3,0.0,1.0,0.0,2.0,60.0,-,62.7,-,60.0,0 (0)
Marcelino McCrary-Ball,#41,LB,1.0,1,0.0,1.0,0.0,0.0,60.0,-,62.7,-,-,0 (0)
Chazz Surratt,#55,LB,2.0,2,0.0,0.0,0.0,2.0,60.0,-,-,-,60.0,0 (0)
Sam Eguavoen,#52,LB,2.0,2,0.0,0.0,0.0,2.0,60.0,-,-,-,59.8,0 (0)
Thomas Hennessy,#42,LS,3.0,3,0.0,1.0,0.0,2.0,60.0,-,61.5,-,60.0,0 (0)
Adrian Amos,#00,S,2.0,2,0.0,1.0,0.0,1.0,60.0,-,63.8,-,60.0,0 (0)
Justin Hardee,#34,CB,2.0,2,0.0,0.0,0.0,2.0,59.9,-,-,-,59.5,0 (0)
Israel Abanikanda,#25,HB,6.0,77,48.0,4.0,23.0,2.0,59.0,41.8,59.0,66.4,60.0,0 (0)
Zach Wilson,#02,QB,12.0,688,464.0,0.0,12.0,212.0,58.2,57.2,-,60.9,60.2,2 (0)
Jeremy Ruckert,#89,TE,15.0,313,142.0,24.0,0.0,147.0,57.5,62.2,36.3,-,55.0,3 (1)
Kenny Yeboah,#88,TE,5.0,124,37.0,8.0,0.0,79.0,57.0,51.9,54.8,-,60.8,0 (0)
Xavier Gipson,#82,WR,15.0,494,362.0,1.0,8.0,123.0,56.2,56.5,38.3,62.4,50.1,2 (0)
Laken Tomlinson,#78,G,17.0,"1,099",0.0,733.0,0.0,366.0,55.0,-,60.6,-,49.6,3 (0)
Dalvin Cook,#33,HB,15.0,202,94.0,33.0,68.0,7.0,54.3,62.4,61.0,51.5,60.0,0 (0)
Mekhi Becton,#77,T,16.0,985,0.0,644.0,0.0,341.0,53.2,-,60.7,-,56.3,18 (4)
Allen Lazard,#10,WR,14.0,685,481.0,2.0,0.0,202.0,52.7,52.6,74.9,-,57.6,5 (0)
Wes Schweitzer,#71,G,3.0,149,0.0,99.0,0.0,50.0,52.7,-,60.0,-,47.0,1 (0)
Mecole Hardman Jr.,#06,WR,4.0,28,24.0,0.0,0.0,4.0,51.9,52.2,-,-,60.5,0 (0)
Jake Hanson,#62,G,5.0,244,0.0,165.0,0.0,79.0,51.8,-,59.7,-,48.7,1 (0)
Malik Taylor,#86,WR,3.0,51,43.0,0.0,0.0,8.0,51.4,51.6,-,-,60.5,0 (0)
Billy Turner,#54,T,8.0,208,0.0,151.0,0.0,57.0,50.9,-,51.9,-,50.2,1 (1)
Nick Bawden,#48,FB,16.0,130,37.0,22.0,2.0,69.0,50.8,55.9,55.3,61.8,50.8,1 (0)
Max Mitchell,#61,T,9.0,474,0.0,336.0,0.0,138.0,49.3,-,47.5,-,49.4,1 (0)
Connor McGovern,#60,C,7.0,371,0.0,240.0,0.0,131.0,48.5,-,30.5,-,62.5,6 (2)
Xavier Newman,#65,G,5.0,280,0.0,183.0,0.0,97.0,48.3,-,33.7,-,55.9,1 (0)
Michael Carter,#32,HB,9.0,142,108.0,24.0,8.0,2.0,47.9,46.2,30.0,58.3,60.0,2 (0)
Duane Brown,#76,T,4.0,111,1.0,68.0,0.0,42.0,47.9,60.0,38.3,-,53.5,1 (1)
Jason Brownlee,#16,WR,7.0,309,202.0,0.0,0.0,107.0,47.7,50.7,-,-,43.5,3 (1)
Randall Cobb,#18,WR,11.0,210,158.0,0.0,0.0,52.0,47.6,50.0,-,-,31.1,0 (0)
Carter Warren,#67,T,6.0,401,0.0,258.0,0.0,143.0,46.9,-,45.5,-,49.9,2 (0)
Chris Glaser,#63,G,3.0,83,0.0,51.0,0.0,32.0,45.5,-,59.5,-,52.6,2 (0)
Aaron Rodgers,#08,QB,1.0,4,3.0,0.0,0.0,1.0,39.4,41.1,-,-,60.0,0 (0)
Trevor Siemian,#14,QB,5.0,285,177.0,0.0,6.0,102.0,34.9,37.4,-,49.4,60.6,4 (0)
,,,,,,,,,,,,,,
