Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Kenneth Walker III,#09,HB,15.0,499.0,218.0,47.0,218.0,16.0,83.5,71.0,40.7,85.3,58.7,2 (0)
Geno Smith,#07,QB,15.0,900.0,592.0,0.0,17.0,291.0,82.9,82.1,-,62.8,60.5,6 (0)
D.K. Metcalf,#14,WR,16.0,826.0,585.0,0.0,0.0,241.0,80.0,82.3,-,-,53.3,8 (3)
Tyler Lockett,#16,WR,17.0,834.0,597.0,0.0,0.0,237.0,78.1,77.6,-,-,58.7,0 (0)
Jake Bobo,#19,WR,17.0,303.0,158.0,2.0,1.0,142.0,73.5,70.7,59.8,63.8,77.6,1 (0)
Will Dissly,#89,TE,16.0,378.0,149.0,42.0,0.0,187.0,71.3,60.3,83.5,-,77.2,3 (0)
Zach Charbonnet,#26,HB,16.0,475.0,286.0,65.0,112.0,12.0,69.8,63.2,61.1,74.4,27.3,2 (1)
Charles Cross,#67,T,14.0,832.0,0.0,554.0,0.0,278.0,67.6,90.1,69.7,-,58.3,5 (1)
Dareke Young,#83,WR,5.0,9.0,2.0,0.0,0.0,7.0,66.7,58.5,-,-,80.5,0 (0)
DeeJay Dallas,#31,HB,11.0,95.0,58.0,21.0,10.0,6.0,63.8,65.3,49.9,66.6,55.6,0 (0)
Jaxon Smith-Njigba,#11,WR,17.0,672.0,506.0,1.0,0.0,165.0,63.3,63.9,65.4,-,46.5,1 (0)
Noah Fant,#87,TE,17.0,570.0,342.0,36.0,0.0,192.0,62.9,64.2,72.1,-,59.6,4 (0)
Ben Brown,#76,G,1.0,8.0,0.0,5.0,0.0,3.0,61.5,-,77.7,-,58.7,0 (0)
Drew Lock,#02,QB,4.0,145.0,91.0,0.0,2.0,52.0,61.3,62.2,-,56.4,60.0,3 (0)
D'Wayne Eskridge,#01,WR,3.0,18.0,7.0,0.0,2.0,9.0,60.4,55.6,-,59.5,82.8,0 (0)
Raiqwon O'Neal,#79,T,1.0,4.0,0.0,1.0,0.0,3.0,60.0,-,66.2,-,60.0,0 (0)
SaRodorick Thompson,#29,HB,1.0,2.0,0.0,0.0,0.0,2.0,60.0,-,-,-,60.0,0 (0)
Easop Winston Jr.,#86,WR,1.0,2.0,0.0,0.0,0.0,2.0,60.0,-,-,-,60.0,0 (0)
Nick Bellore,#44,LB,3.0,4.0,0.0,0.0,0.0,4.0,60.0,-,-,-,60.0,0 (0)
Damien Lewis,#68,G,16.0,926.0,0.0,610.0,0.0,316.0,59.6,-,63.0,-,57.9,4 (0)
Stone Forsythe,#78,T,13.0,497.0,0.0,312.0,0.0,185.0,58.2,-,40.8,-,71.4,2 (2)
Colby Parkinson,#84,TE,17.0,494.0,241.0,42.0,0.0,211.0,57.6,53.7,69.8,-,64.1,6 (1)
Brady Russell,#38,TE,6.0,16.0,2.0,0.0,0.0,14.0,57.3,54.7,-,-,59.5,0 (0)
Cody Thompson,#13,WR,6.0,23.0,7.0,0.0,0.0,16.0,56.2,55.8,-,-,60.9,0 (0)
Jake Curhan,#74,T,7.0,296.0,0.0,187.0,0.0,109.0,55.7,-,39.2,-,67.1,1 (0)
Evan Brown,#63,C,16.0,955.0,0.0,630.0,0.0,325.0,55.5,-,59.1,-,57.2,7 (2)
Jason Peters,#70,T,8.0,215.0,0.0,147.0,0.0,68.0,53.9,-,45.1,-,71.2,4 (1)
Olusegun Oluwatimi,#51,C,4.0,128.0,0.0,70.0,0.0,58.0,53.1,-,75.5,-,50.1,1 (0)
Abraham Lucas,#72,T,6.0,273.0,0.0,182.0,0.0,91.0,53.1,-,44.4,-,58.8,0 (0)
Phil Haynes,#60,G,8.0,437.0,0.0,299.0,0.0,138.0,51.9,-,59.4,-,53.6,6 (2)
Anthony Bradford,#75,G,12.0,659.0,0.0,419.0,0.0,240.0,51.7,-,38.9,-,58.5,4 (1)
