RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Chuba Hubbard,#30,HB,17.0,257.0,238.0,902.0,3.8,5.0,1.0,77.2,79.4,87.7,45.0,682.0,2.87,41.0,22.0,21.0,136.0,101.0,0.0,0.0,902.0,9.0,170.0,18.8,59.0,0 (0),62.1,61.6,44.0,39.0,233,295.0,0.79,0.0,50.7
2.0,Bryce Young,#09,QB,16.0,404.0,39.0,253.0,6.5,0.0,11.0,56.0,78.1,27.7,60.0,156.0,4.0,15.0,26.0,9.0,0.0,1.0,31.0,259.0,-6.0,0.0,0.0,0.0,18.0,6 (1),-,-,0.0,0.0,0,0.0,,0.0,0.0
3.0,Ihmir Smith-Marsette,#11,WR,13.0,63.0,8.0,74.0,9.3,1.0,0.0,63.6,69.8,89.9,69.4,37.0,4.63,3.0,20.0,4.0,0.0,1.0,0.0,0.0,74.0,2.0,35.0,47.3,4.0,3 (0),63.7,-,10.0,8.0,51,55.0,0.93,1.0,115.6
4.0,Raheem Blackshear,#03,HB,11.0,17.0,14.0,46.0,3.3,0.0,0.0,63.7,68.8,82.0,60.0,33.0,2.36,3.0,9.0,0.0,7.0,7.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,0 (0),53.9,44.4,7.0,6.0,45,31.0,1.45,0.0,47.1
5.0,Laviska Shenault Jr.,#05,WR,8.0,41.0,12.0,55.0,4.6,0.0,0.0,67.4,64.8,28.1,61.2,33.0,2.75,4.0,11.0,2.0,6.0,1.0,0.0,0.0,55.0,0.0,0.0,0.0,3.0,0 (0),66.6,-,10.0,10.0,60,48.0,1.25,0.0,75.0
6.0,Andy Dalton,#14,QB,3.0,14.0,3.0,12.0,4.0,0.0,0.0,81.1,64.2,82.5,60.0,5.0,1.67,0.0,10.0,1.0,1.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,2.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
7.0,Miles Sanders,#06,HB,16.0,141.0,129.0,432.0,3.3,1.0,2.0,60.8,60.4,56.4,63.9,342.0,2.65,17.0,48.0,11.0,74.0,54.0,0.0,0.0,432.0,4.0,93.0,21.5,24.0,0 (0),68.0,23.3,38.0,27.0,154,211.0,0.73,2.0,42.5
8.0,Johnny Hekker,#10,P,2.0,1.0,1.0,-11.0,-11.0,0.0,1.0,61.0,60.0,60.4,-,-1.0,-1.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
9.0,Adam Thielen,#19,WR,17.0,362.0,1.0,6.0,6.0,0.0,2.0,72.7,-,33.0,42.9,5.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5 (0),75.3,46.5,136.0,103.0,"1,014",637.0,1.59,4.0,19.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
