Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Keenan Allen,#13,WR,13.0,777,558.0,3.0,0.0,216.0,86.3,87.4,77.5,-,39.1,1 (0)
Justin Herbert,#10,QB,13.0,834,554.0,0.0,21.0,259.0,85.5,83.1,-,73.2,60.3,5 (1)
Rashawn Slater,#70,T,17.0,"1,154",0.0,762.0,0.0,392.0,76.6,-,84.7,-,59.5,8 (1)
Mike Williams,#81,WR,3.0,167,113.0,0.0,1.0,53.0,74.6,73.5,-,56.6,75.0,0 (0)
Joshua Palmer,#05,WR,10.0,524,369.0,0.0,0.0,155.0,67.6,67.6,-,-,51.1,1 (0)
Easton Stick,#02,QB,5.0,320,208.0,0.0,18.0,94.0,66.8,61.8,-,79.9,60.2,1 (0)
Gerald Everett,#07,TE,15.0,570,346.0,27.0,3.0,194.0,65.6,68.1,67.5,60.6,51.3,2 (1)
Corey Linsley,#63,C,3.0,214,0.0,144.0,0.0,70.0,63.5,-,54.3,-,65.9,0 (0)
Trey Pipkins III,#79,T,17.0,"1,116",1.0,736.0,0.0,379.0,62.8,89.1,67.3,-,50.3,7 (2)
Alex Erickson,#82,WR,8.0,328,229.0,2.0,0.0,97.0,62.6,63.7,67.9,-,45.3,1 (0)
Derius Davis,#12,WR,16.0,149,80.0,0.0,13.0,56.0,60.5,61.0,-,63.5,43.0,1 (0)
Simi Fehoko,#87,WR,4.0,23,9.0,1.0,0.0,13.0,60.4,65.0,66.2,-,40.8,0 (0)
Austin Ekeler,#30,HB,14.0,628,362.0,56.0,182.0,28.0,60.2,57.4,29.3,65.1,36.6,0 (0)
Tuli Tuipulotu,#45,ED,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Deane Leonard,#33,CB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Terrell Bynum,#35,WR,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Daiyan Henley,#00,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Ja'Sir Taylor,#36,CB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Blake Lynch,#53,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Hunter Kampmoyer,#48,TE,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,65.6,0 (0)
Amen Ogbongbemiga,#57,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
JK Scott,#16,P,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Dean Marlowe,#20,S,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Josh Harris,#47,LS,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Donald Parham Jr.,#89,TE,14.0,458,269.0,31.0,0.0,158.0,59.7,64.0,78.3,-,45.4,2 (0)
Quentin Johnston,#01,WR,17.0,746,514.0,0.0,4.0,228.0,58.9,58.7,-,63.4,52.7,1 (0)
Isaiah Spiller,#28,HB,9.0,111,52.0,18.0,37.0,4.0,58.8,61.0,29.0,63.4,60.0,1 (0)
Stephen Anderson,#40,TE,2.0,4,0.0,1.0,0.0,3.0,58.8,-,66.3,-,59.3,0 (0)
Zion Johnson,#77,G,15.0,"1,006",0.0,661.0,0.0,345.0,57.6,-,58.8,-,57.2,6 (0)
Will Clapp,#76,C,14.0,702,0.0,464.0,0.0,238.0,56.7,-,55.1,-,56.9,1 (0)
Elijah Dotson,#42,HB,3.0,15,5.0,0.0,4.0,6.0,54.8,62.7,-,53.2,60.0,0 (0)
Jamaree Salyer,#68,G,17.0,"1,144",0.0,754.0,0.0,390.0,54.2,-,61.2,-,49.4,3 (0)
Jordan McFadden,#71,G,9.0,163,1.0,103.0,0.0,59.0,52.0,59.9,54.0,-,49.5,0 (0)
Joshua Kelley,#25,HB,17.0,391,187.0,76.0,109.0,19.0,52.0,36.4,42.4,60.5,58.3,0 (0)
Keelan Doss,#86,WR,5.0,98,68.0,0.0,0.0,30.0,51.4,52.5,-,-,44.4,0 (0)
Brenden Jaimes,#64,C,4.0,241,0.0,155.0,0.0,86.0,49.8,-,71.1,-,39.8,1 (0)
Jalen Guyton,#15,WR,8.0,255,185.0,0.0,0.0,70.0,49.6,52.3,-,-,30.6,0 (0)
Foster Sarell,#73,T,7.0,48,0.0,25.0,0.0,23.0,48.0,-,51.6,-,45.9,0 (0)
Stone Smartt,#84,TE,16.0,307,167.0,10.0,0.0,130.0,44.1,50.9,48.1,-,31.9,2 (0)
Nick Niemann,#31,LB,1.0,1,0.0,0.0,1.0,0.0,43.9,-,-,44.7,-,0 (0)
Nick Vannett,#83,TE,8.0,125,31.0,14.0,0.0,80.0,42.9,44.3,73.8,-,44.4,0 (0)
Austen Pleasants,#75,T,1.0,10,0.0,8.0,0.0,2.0,34.6,-,4.8,-,54.4,0 (0)
Tre' McKitty,#88,TE,6.0,65,11.0,12.0,0.0,42.0,30.4,46.9,57.2,-,39.1,2 (1)
,,,,,,,,,,,,,,
